"No.","Time","Source","Destination","Protocol","Length","Info"
"1039","40.380367","40.79.167.8","192.168.1.12","TCP","66","[TCP Dup ACK 1012#1] 443  >  20086 [ACK] Seq=379 Ack=2819 Win=16381 Len=0 SLE=2784 SRE=2819"
"1040","40.380367","8.8.4.4","192.168.1.12","QUIC","65","Protected Payload (KP0)"
"1041","40.389813","192.168.1.12","142.251.43.99","QUIC","74","Protected Payload (KP0), DCID=fc7b3364a63867f0"
"1042","40.451076","142.251.43.99","192.168.1.12","QUIC","574","Protected Payload (KP0)"
"1043","40.451076","142.251.43.99","192.168.1.12","QUIC","65","Protected Payload (KP0)"
"1044","40.451433","192.168.1.12","142.251.43.99","QUIC","79","Protected Payload (KP0), DCID=fc7b3364a63867f0"
"1045","40.451483","192.168.1.12","142.251.43.99","QUIC","75","Protected Payload (KP0), DCID=fc7b3364a63867f0"
"1046","40.454546","142.251.43.99","192.168.1.12","QUIC","338","Protected Payload (KP0)"
"1047","40.454975","192.168.1.12","142.251.43.99","QUIC","161","Protected Payload (KP0), DCID=fc7b3364a63867f0"
"1048","40.466668","8.8.4.4","192.168.1.12","QUIC","69","Protected Payload (KP0)"
"1049","40.496482","142.251.43.99","192.168.1.12","QUIC","162","Protected Payload (KP0)"
"1050","40.496482","142.251.43.99","192.168.1.12","QUIC","67","Protected Payload (KP0)"
"1051","40.496482","142.251.43.99","192.168.1.12","QUIC","67","Protected Payload (KP0)"
"1052","40.496482","163.70.145.60","192.168.1.12","TCP","186","5222  >  19948 [PSH, ACK] Seq=83921 Ack=38081 Win=5544 Len=132"
"1053","40.497084","192.168.1.12","142.251.43.99","QUIC","77","Protected Payload (KP0), DCID=fc7b3364a63867f0"
"1054","40.558363","192.168.1.12","163.70.145.60","TCP","54","19948  >  5222 [ACK] Seq=38081 Ack=84053 Win=509 Len=0"
"1055","40.569798","192.168.1.12","163.70.145.60","TCP","128","19948  >  5222 [PSH, ACK] Seq=38081 Ack=84053 Win=509 Len=74 [TCP PDU reassembled in 1328]"
"1056","40.810982","163.70.145.60","192.168.1.12","TCP","186","[TCP Spurious Retransmission] 5222  >  19948 [PSH, ACK] Seq=83921 Ack=38081 Win=5544 Len=132"
"1057","40.811009","192.168.1.12","163.70.145.60","TCP","66","[TCP Dup ACK 1054#1] 19948  >  5222 [ACK] Seq=38155 Ack=84053 Win=509 Len=0 SLE=83921 SRE=84053"
"1058","40.830376","192.168.1.12","163.70.145.60","TCP","128","[TCP Retransmission] 19948  >  5222 [PSH, ACK] Seq=38081 Ack=84053 Win=509 Len=74 [TCP PDU reassembled in 1328]"
"1059","40.941190","142.250.77.234","192.168.1.12","UDP","120","443  >  51620 Len=78"
"1060","40.941190","142.250.77.234","192.168.1.12","UDP","120","443  >  51620 Len=78"
"1061","40.941190","142.251.43.99","192.168.1.12","QUIC","162","Protected Payload (KP0)"
"1062","40.941190","142.250.77.234","192.168.1.12","UDP","120","443  >  51620 Len=78"
"1063","40.941534","192.168.1.12","142.251.43.99","QUIC","75","Protected Payload (KP0), DCID=fc7b3364a63867f0"
"1064","40.941673","192.168.1.12","142.250.77.234","UDP","76","51620  >  443 Len=34"
"1065","40.941709","192.168.1.12","142.250.77.234","UDP","78","51620  >  443 Len=36"
"1066","40.967031","163.70.145.60","192.168.1.12","TCP","60","5222  >  19948 [ACK] Seq=84053 Ack=38155 Win=5544 Len=0"
"1067","40.967031","20.195.84.1","192.168.1.12","TLSv1.2","81","Application Data"
"1068","41.017443","192.168.1.12","20.195.84.1","TCP","54","19939  >  443 [ACK] Seq=91 Ack=82 Win=254 Len=0"
"1069","41.035486","163.70.145.60","192.168.1.12","TCP","60","[TCP Dup ACK 1066#1] 5222  >  19948 [ACK] Seq=84053 Ack=38155 Win=5544 Len=0"
